student_id,name,gender,race_ethnicity,parental_education,lunch,test_preparation_course,age,major
S0080,Student080,female,group E,master's degree,standard,none,20,软件工程
S0081,Student081,female,group B,associate's degree,standard,none,20,信息管理与信息系统
S0082,Student082,male,group B,high school,free/reduced,none,18,软件工程
S0083,Student083,male,group A,some college,free/reduced,completed,19,计算机科学与技术
S0084,Student084,male,group E,associate's degree,standard,none,20,软件工程
S0085,Student085,male,group D,high school,free/reduced,none,22,计算机科学与技术
S0086,Student086,female,group C,some college,standard,none,19,大数据技术
S0087,Student087,female,group C,some college,free/reduced,none,21,信息管理与信息系统
S0088,Student088,female,group D,associate's degree,standard,none,21,大数据技术
S0089,Student089,female,group A,some college,standard,none,22,信息管理与信息系统
S0090,Student090,female,group D,some high school,standard,none,18,大数据技术
S0091,Student091,female,group C,bachelor's degree,standard,none,21,信息管理与信息系统
S0092,Student092,male,group C,high school,free/reduced,none,19,网络工程
S0093,Student093,male,group C,high school,standard,none,20,软件工程
S0094,Student094,male,group C,associate's degree,free/reduced,completed,18,网络工程
S0095,Student095,female,group B,some college,standard,none,21,计算机科学与技术
S0096,Student096,male,group C,associate's degree,free/reduced,completed,18,信息管理与信息系统
S0097,Student097,male,group B,some high school,standard,completed,19,网络工程
S0098,Student098,female,group E,some college,standard,completed,20,大数据技术
S0099,Student099,female,group D,some college,free/reduced,none,21,信息管理与信息系统
S0100,Student100,female,group D,bachelor's degree,standard,none,20,大数据技术
S0101,Student101,male,group B,some college,standard,none,22,大数据技术
S0102,Student102,male,group D,bachelor's degree,standard,completed,18,信息管理与信息系统
S0103,Student103,female,group D,associate's degree,standard,none,19,网络工程
S0104,Student104,male,group B,high school,standard,completed,19,计算机科学与技术
S0105,Student105,male,group C,some college,standard,completed,19,大数据技术
S0106,Student106,female,group C,some college,standard,none,18,信息管理与信息系统
S0107,Student107,female,group D,master's degree,standard,none,20,大数据技术
S0108,Student108,male,group E,associate's degree,standard,completed,19,软件工程
S0109,Student109,female,group B,associate's degree,free/reduced,none,20,计算机科学与技术
S0110,Student110,female,group B,some high school,standard,none,20,网络工程
S0111,Student111,female,group D,associate's degree,free/reduced,completed,19,计算机科学与技术
S0112,Student112,male,group C,high school,standard,none,20,大数据技术
S0113,Student113,male,group A,associate's degree,standard,none,20,软件工程
S0114,Student114,female,group D,some college,standard,none,22,计算机科学与技术
S0115,Student115,female,group E,bachelor's degree,standard,completed,18,信息管理与信息系统
S0116,Student116,male,group C,high school,standard,none,21,计算机科学与技术
S0117,Student117,female,group B,bachelor's degree,free/reduced,none,18,大数据技术
S0118,Student118,female,group D,bachelor's degree,standard,none,19,计算机科学与技术
S0119,Student119,female,group D,some high school,standard,none,20,大数据技术
S0120,Student120,female,group C,some college,standard,none,22,大数据技术
S0121,Student121,female,group C,bachelor's degree,standard,completed,19,信息管理与信息系统
S0122,Student122,male,group B,associate's degree,standard,completed,20,网络工程
S0123,Student123,female,group C,some college,standard,completed,20,网络工程
S0124,Student124,male,group D,high school,free/reduced,none,21,软件工程
S0125,Student125,male,group E,some college,standard,none,19,网络工程
S0126,Student126,female,group B,high school,standard,none,20,计算机科学与技术
S0127,Student127,male,group B,some high school,standard,none,22,网络工程
S0128,Student128,male,group D,some college,standard,completed,20,大数据技术
S0129,Student129,male,group D,master's degree,standard,none,22,软件工程
S0130,Student130,female,group A,bachelor's degree,standard,none,19,信息管理与信息系统
S0131,Student131,male,group D,master's degree,standard,none,20,软件工程
S0132,Student132,male,group C,some high school,free/reduced,completed,18,大数据技术
S0133,Student133,male,group E,some college,free/reduced,completed,20,计算机科学与技术
S0134,Student134,female,group C,some college,standard,completed,20,信息管理与信息系统
S0135,Student135,male,group D,bachelor's degree,free/reduced,completed,20,大数据技术
S0136,Student136,male,group C,bachelor's degree,standard,none,21,网络工程
S0137,Student137,male,group B,some high school,standard,completed,20,计算机科学与技术
S0138,Student138,male,group E,high school,standard,none,22,信息管理与信息系统
S0139,Student139,female,group C,associate's degree,standard,none,20,网络工程
S0140,Student140,male,group D,some college,standard,completed,20,网络工程
S0141,Student141,female,group D,some high school,standard,none,22,网络工程
S0142,Student142,female,group C,some college,free/reduced,none,20,大数据技术
S0143,Student143,female,group E,some college,free/reduced,completed,19,软件工程
S0144,Student144,male,group A,high school,standard,none,20,大数据技术
S0145,Student145,male,group D,some college,standard,none,20,软件工程
S0146,Student146,female,group C,some college,free/reduced,none,20,大数据技术
S0147,Student147,male,group B,some high school,standard,none,20,软件工程
S0148,Student148,male,group C,associate's degree,free/reduced,none,20,信息管理与信息系统
S0149,Student149,female,group D,bachelor's degree,standard,completed,22,信息管理与信息系统
S0150,Student150,male,group E,associate's degree,free/reduced,completed,18,软件工程
S0151,Student151,male,group A,some high school,standard,completed,22,网络工程
S0152,Student152,male,group A,bachelor's degree,standard,none,20,软件工程
S0153,Student153,female,group B,associate's degree,standard,completed,19,大数据技术
S0154,Student154,male,group D,bachelor's degree,standard,none,21,计算机科学与技术
S0155,Student155,male,group D,some high school,standard,none,18,大数据技术
S0156,Student156,female,group C,some college,standard,completed,21,计算机科学与技术
S0157,Student157,female,group E,high school,free/reduced,completed,18,信息管理与信息系统
S0158,Student158,male,group B,some college,free/reduced,none,20,信息管理与信息系统
S0159,Student159,female,group B,associate's degree,standard,completed,19,网络工程
S0160,Student160,male,group D,associate's degree,free/reduced,none,19,网络工程
S0161,Student161,male,group B,associate's degree,free/reduced,completed,20,信息管理与信息系统
S0162,Student162,female,group E,some college,free/reduced,completed,18,大数据技术
S0163,Student163,male,group B,master's degree,free/reduced,none,22,计算机科学与技术
S0164,Student164,male,group C,high school,standard,none,21,软件工程
S0165,Student165,female,group E,master's degree,standard,none,22,信息管理与信息系统
S0166,Student166,female,group C,bachelor's degree,standard,completed,18,信息管理与信息系统
S0167,Student167,male,group C,high school,free/reduced,completed,18,软件工程
S0168,Student168,female,group B,master's degree,free/reduced,completed,20,网络工程
S0169,Student169,female,group B,high school,standard,completed,22,计算机科学与技术
S0170,Student170,female,group C,some college,free/reduced,completed,19,大数据技术
S0171,Student171,male,group A,high school,standard,completed,19,软件工程
S0172,Student172,male,group E,some high school,standard,none,22,大数据技术
S0173,Student173,female,group D,some college,standard,none,18,信息管理与信息系统
S0174,Student174,female,group C,associate's degree,standard,none,22,网络工程
S0175,Student175,female,group C,bachelor's degree,free/reduced,completed,18,信息管理与信息系统
S0176,Student176,female,group C,master's degree,standard,completed,19,网络工程
S0177,Student177,female,group B,high school,free/reduced,completed,19,计算机科学与技术
S0178,Student178,female,group C,associate's degree,standard,completed,22,大数据技术
S0179,Student179,female,group B,master's degree,free/reduced,completed,22,计算机科学与技术
S0180,Student180,female,group D,some high school,standard,completed,19,网络工程
S0181,Student181,male,group C,master's degree,free/reduced,completed,19,大数据技术
S0182,Student182,female,group C,some college,free/reduced,none,22,计算机科学与技术
S0183,Student183,female,group E,high school,standard,none,19,网络工程
S0184,Student184,female,group D,associate's degree,standard,none,21,大数据技术
S0185,Student185,male,group C,some high school,free/reduced,completed,22,软件工程
S0186,Student186,male,group C,associate's degree,free/reduced,completed,21,计算机科学与技术
S0187,Student187,male,group E,high school,standard,none,21,计算机科学与技术
S0188,Student188,male,group D,some high school,standard,completed,19,软件工程
S0189,Student189,male,group B,some high school,free/reduced,none,20,计算机科学与技术
S0190,Student190,female,group C,bachelor's degree,standard,none,18,软件工程
S0191,Student191,female,group E,associate's degree,standard,none,18,大数据技术
S0192,Student192,male,group D,some college,standard,completed,20,计算机科学与技术
S0193,Student193,female,group B,some high school,standard,none,19,信息管理与信息系统
S0194,Student194,male,group D,some college,standard,completed,18,大数据技术
S0195,Student195,female,group C,master's degree,standard,completed,20,计算机科学与技术
S0196,Student196,male,group D,associate's degree,standard,none,22,软件工程
S0197,Student197,male,group C,some high school,free/reduced,completed,19,网络工程
S0198,Student198,male,group E,high school,free/reduced,none,18,计算机科学与技术
S0199,Student199,female,group B,some college,free/reduced,none,22,计算机科学与技术
S0200,Student200,female,group B,bachelor's degree,free/reduced,none,18,软件工程
S0201,Student201,female,group C,associate's degree,standard,completed,20,信息管理与信息系统
S0202,Student202,female,group D,some college,free/reduced,none,20,计算机科学与技术
S0203,Student203,male,group C,associate's degree,standard,none,20,大数据技术
S0204,Student204,female,group B,associate's degree,standard,none,20,网络工程
S0205,Student205,male,group C,some college,standard,none,18,信息管理与信息系统
S0206,Student206,male,group D,some high school,standard,completed,22,网络工程
S0207,Student207,male,group E,bachelor's degree,standard,none,18,软件工程
S0208,Student208,male,group E,high school,standard,completed,18,软件工程
S0209,Student209,female,group B,some college,free/reduced,none,22,大数据技术
S0210,Student210,female,group B,some college,free/reduced,none,19,大数据技术
S0211,Student211,male,group D,some high school,free/reduced,completed,20,计算机科学与技术
S0212,Student212,male,group C,some college,free/reduced,none,21,计算机科学与技术
S0213,Student213,female,group C,high school,free/reduced,none,20,计算机科学与技术
S0214,Student214,male,group C,associate's degree,free/reduced,completed,22,软件工程
S0215,Student215,male,group E,high school,standard,completed,22,信息管理与信息系统
S0216,Student216,male,group B,some high school,standard,completed,19,大数据技术
S0217,Student217,female,group E,associate's degree,free/reduced,completed,21,计算机科学与技术
S0218,Student218,female,group C,high school,free/reduced,none,21,软件工程
S0219,Student219,male,group B,high school,free/reduced,none,19,网络工程
S0220,Student220,male,group B,some high school,standard,completed,18,软件工程
S0221,Student221,female,group D,high school,standard,completed,22,计算机科学与技术
S0222,Student222,male,group B,associate's degree,standard,none,21,计算机科学与技术
S0223,Student223,female,group C,some high school,free/reduced,none,19,网络工程
S0224,Student224,male,group D,some high school,standard,none,19,计算机科学与技术
S0225,Student225,female,group B,associate's degree,standard,completed,21,大数据技术
S0226,Student226,female,group E,master's degree,free/reduced,none,19,计算机科学与技术
S0227,Student227,female,group C,some college,standard,none,20,大数据技术
S0228,Student228,male,group D,high school,standard,none,19,软件工程
S0229,Student229,male,group A,some high school,free/reduced,none,21,信息管理与信息系统
S0230,Student230,female,group C,some college,standard,completed,19,信息管理与信息系统
S0231,Student231,male,group D,some college,standard,none,21,网络工程
S0232,Student232,male,group C,associate's degree,standard,none,19,信息管理与信息系统
S0233,Student233,female,group B,bachelor's degree,standard,none,21,网络工程
S0234,Student234,male,group E,some high school,standard,none,21,软件工程
S0235,Student235,male,group C,bachelor's degree,standard,completed,20,大数据技术
S0236,Student236,male,group D,associate's degree,standard,none,20,信息管理与信息系统
S0237,Student237,male,group D,bachelor's degree,free/reduced,none,18,信息管理与信息系统
S0238,Student238,female,group D,some high school,standard,completed,21,计算机科学与技术
S0239,Student239,male,group B,some college,standard,none,21,计算机科学与技术
S0240,Student240,male,group C,associate's degree,standard,none,19,信息管理与信息系统
S0241,Student241,male,group D,high school,free/reduced,completed,20,软件工程
S0242,Student242,female,group E,bachelor's degree,standard,none,22,大数据技术
S0243,Student243,female,group D,high school,standard,none,18,计算机科学与技术
S0244,Student244,male,group E,some college,standard,none,20,大数据技术
S0245,Student245,male,group D,some high school,standard,none,20,计算机科学与技术
S0246,Student246,male,group C,associate's degree,standard,none,21,网络工程
S0247,Student247,male,group E,associate's degree,standard,none,20,软件工程
S0248,Student248,female,group B,high school,standard,completed,21,信息管理与信息系统
S0249,Student249,female,group B,high school,standard,none,18,软件工程
S0250,Student250,male,group C,high school,standard,none,18,网络工程
S0251,Student251,male,group A,some high school,standard,completed,20,网络工程
S0252,Student252,female,group D,some college,free/reduced,none,18,网络工程
S0253,Student253,female,group B,some high school,standard,completed,18,大数据技术
S0254,Student254,male,group D,master's degree,standard,none,20,计算机科学与技术
S0255,Student255,male,group D,high school,standard,none,21,软件工程
S0256,Student256,female,group E,some college,standard,none,20,信息管理与信息系统
S0257,Student257,female,group C,associate's degree,free/reduced,none,22,信息管理与信息系统
S0258,Student258,male,group C,associate's degree,standard,completed,19,软件工程
S0259,Student259,female,group B,some college,standard,none,20,大数据技术
S0260,Student260,female,group C,master's degree,free/reduced,completed,18,大数据技术
S0261,Student261,female,group C,some high school,free/reduced,completed,19,大数据技术
S0262,Student262,male,group C,some college,standard,completed,20,大数据技术
S0263,Student263,female,group C,some high school,free/reduced,none,21,网络工程
S0264,Student264,female,group E,high school,standard,none,21,网络工程
S0265,Student265,male,group D,high school,standard,none,19,信息管理与信息系统
S0266,Student266,male,group D,some high school,free/reduced,none,19,计算机科学与技术
S0267,Student267,female,group C,bachelor's degree,standard,none,20,网络工程
S0268,Student268,female,group D,high school,standard,none,19,信息管理与信息系统
S0269,Student269,female,group D,associate's degree,standard,completed,19,信息管理与信息系统
S0270,Student270,female,group E,some college,free/reduced,none,22,软件工程
S0271,Student271,male,group C,bachelor's degree,standard,none,19,大数据技术
S0272,Student272,male,group C,some college,standard,none,21,大数据技术
S0273,Student273,female,group D,associate's degree,free/reduced,none,19,计算机科学与技术
S0274,Student274,female,group D,some college,standard,none,18,信息管理与信息系统
S0275,Student275,male,group B,some college,standard,completed,18,大数据技术
S0276,Student276,male,group C,bachelor's degree,standard,none,22,信息管理与信息系统
S0277,Student277,female,group C,some high school,standard,completed,19,信息管理与信息系统
S0278,Student278,female,group E,high school,standard,completed,18,计算机科学与技术
S0279,Student279,female,group C,some high school,free/reduced,none,19,软件工程
S0280,Student280,male,group B,bachelor's degree,free/reduced,none,19,网络工程
S0281,Student281,male,group D,high school,standard,none,21,大数据技术
S0282,Student282,male,group D,high school,standard,none,22,软件工程
S0283,Student283,female,group D,bachelor's degree,free/reduced,none,22,软件工程
S0284,Student284,female,group D,some college,free/reduced,completed,18,软件工程
S0285,Student285,female,group B,some high school,standard,none,18,软件工程
S0286,Student286,male,group B,associate's degree,standard,completed,22,软件工程
S0287,Student287,male,group E,associate's degree,standard,completed,18,计算机科学与技术
S0288,Student288,female,group B,some high school,standard,none,18,软件工程
S0289,Student289,male,group B,bachelor's degree,free/reduced,none,22,软件工程
S0290,Student290,male,group E,some high school,standard,completed,18,软件工程
S0291,Student291,male,group C,associate's degree,standard,none,22,信息管理与信息系统
S0292,Student292,male,group D,some high school,standard,none,21,软件工程
S0293,Student293,male,group C,some high school,standard,completed,19,网络工程
S0294,Student294,female,group E,bachelor's degree,standard,none,22,信息管理与信息系统
S0295,Student295,male,group D,high school,free/reduced,completed,21,大数据技术
S0296,Student296,male,group B,associate's degree,free/reduced,none,20,网络工程
S0297,Student297,male,group A,some high school,standard,completed,20,软件工程
S0298,Student298,male,group E,associate's degree,standard,completed,18,网络工程
S0299,Student299,male,group C,high school,free/reduced,completed,22,网络工程
S0300,Student300,male,group D,associate's degree,free/reduced,none,19,大数据技术
S0301,Student301,male,group A,some college,free/reduced,completed,19,大数据技术
S0302,Student302,male,group D,some high school,free/reduced,none,18,信息管理与信息系统
S0303,Student303,female,group C,associate's degree,standard,completed,19,软件工程
S0304,Student304,male,group B,associate's degree,standard,none,19,大数据技术
S0305,Student305,female,group C,associate's degree,standard,completed,18,信息管理与信息系统
S0306,Student306,male,group A,some college,standard,none,21,信息管理与信息系统
S0307,Student307,male,group E,some college,standard,completed,18,计算机科学与技术
S0308,Student308,male,group C,some high school,standard,none,19,计算机科学与技术
S0309,Student309,female,group B,associate's degree,free/reduced,none,20,信息管理与信息系统
S0310,Student310,female,group D,high school,free/reduced,none,21,计算机科学与技术
S0311,Student311,female,group B,associate's degree,standard,none,18,网络工程
S0312,Student312,male,group B,bachelor's degree,standard,none,22,信息管理与信息系统
S0313,Student313,male,group D,bachelor's degree,standard,completed,20,网络工程
S0314,Student314,female,group C,associate's degree,free/reduced,completed,20,计算机科学与技术
S0315,Student315,female,group C,bachelor's degree,standard,completed,21,计算机科学与技术
S0316,Student316,male,group C,high school,standard,none,19,计算机科学与技术
S0317,Student317,female,group D,master's degree,standard,completed,19,软件工程
S0318,Student318,male,group C,associate's degree,standard,none,22,大数据技术
S0319,Student319,male,group B,bachelor's degree,standard,none,21,软件工程
S0320,Student320,female,group D,associate's degree,free/reduced,none,22,网络工程
S0321,Student321,female,group C,high school,free/reduced,completed,21,网络工程
S0322,Student322,female,group E,high school,standard,none,18,计算机科学与技术
S0323,Student323,female,group C,some college,standard,none,21,大数据技术
S0324,Student324,female,group C,some high school,free/reduced,none,22,大数据技术
S0325,Student325,female,group C,high school,free/reduced,none,18,网络工程
S0326,Student326,female,group C,some college,standard,none,19,信息管理与信息系统
S0327,Student327,male,group C,some college,standard,none,21,计算机科学与技术
S0328,Student328,male,group A,some college,free/reduced,none,18,计算机科学与技术
S0329,Student329,male,group C,associate's degree,standard,completed,22,计算机科学与技术
S0330,Student330,female,group B,some high school,standard,none,18,大数据技术
S0331,Student331,male,group C,high school,standard,none,18,计算机科学与技术
S0332,Student332,male,group C,associate's degree,standard,none,21,大数据技术
S0333,Student333,male,group E,associate's degree,standard,completed,18,计算机科学与技术
S0334,Student334,male,group B,associate's degree,standard,none,18,网络工程
S0335,Student335,female,group C,bachelor's degree,standard,none,21,计算机科学与技术
S0336,Student336,female,group B,some college,free/reduced,none,21,大数据技术
S0337,Student337,male,group D,some high school,standard,completed,22,计算机科学与技术
S0338,Student338,male,group C,associate's degree,standard,none,19,大数据技术
S0339,Student339,female,group B,some high school,free/reduced,none,22,计算机科学与技术
S0340,Student340,female,group D,some high school,free/reduced,completed,20,软件工程
S0341,Student341,male,group C,high school,free/reduced,none,21,网络工程
S0342,Student342,female,group C,high school,standard,none,18,信息管理与信息系统
S0343,Student343,female,group B,high school,standard,completed,21,软件工程
S0344,Student344,male,group D,associate's degree,standard,completed,21,大数据技术
S0345,Student345,male,group D,some college,standard,none,20,大数据技术
S0346,Student346,female,group C,high school,standard,none,20,计算机科学与技术
S0347,Student347,male,group B,some college,standard,none,18,信息管理与信息系统
S0348,Student348,female,group C,bachelor's degree,standard,completed,19,计算机科学与技术
S0349,Student349,male,group D,high school,free/reduced,none,21,信息管理与信息系统
S0350,Student350,male,group E,associate's degree,standard,none,22,软件工程
S0351,Student351,female,group B,bachelor's degree,standard,none,20,软件工程
S0352,Student352,male,group E,some college,standard,none,20,大数据技术
S0353,Student353,female,group C,some college,standard,completed,21,信息管理与信息系统
S0354,Student354,female,group C,associate's degree,standard,none,21,信息管理与信息系统
S0355,Student355,female,group C,some college,standard,none,22,计算机科学与技术
S0356,Student356,female,group B,bachelor's degree,standard,none,21,软件工程
S0357,Student357,male,group A,associate's degree,standard,none,18,软件工程
S0358,Student358,female,group C,some college,free/reduced,completed,21,大数据技术
S0359,Student359,male,group D,some college,free/reduced,none,21,软件工程
S0360,Student360,female,group D,some college,standard,none,22,大数据技术
S0361,Student361,female,group B,high school,standard,none,21,网络工程
S0362,Student362,male,group B,some high school,standard,completed,20,计算机科学与技术
S0363,Student363,female,group C,some college,standard,none,18,计算机科学与技术
S0364,Student364,female,group D,some high school,free/reduced,none,19,大数据技术
S0365,Student365,male,group C,some college,standard,none,21,软件工程
S0366,Student366,male,group A,bachelor's degree,free/reduced,completed,20,软件工程
S0367,Student367,male,group C,high school,standard,completed,21,网络工程
S0368,Student368,male,group C,bachelor's degree,free/reduced,none,19,信息管理与信息系统
S0369,Student369,female,group A,some high school,free/reduced,none,21,大数据技术
S0370,Student370,female,group D,some high school,standard,none,18,计算机科学与技术
S0371,Student371,male,group E,some college,standard,none,22,软件工程
S0372,Student372,female,group C,some college,free/reduced,completed,21,信息管理与信息系统
S0373,Student373,male,group D,some high school,standard,none,21,计算机科学与技术
S0374,Student374,female,group D,some college,standard,completed,19,软件工程
S0375,Student375,female,group D,bachelor's degree,standard,none,21,网络工程
S0376,Student376,male,group E,associate's degree,free/reduced,none,19,大数据技术
S0377,Student377,female,group D,some high school,standard,none,22,信息管理与信息系统
S0378,Student378,female,group D,master's degree,free/reduced,completed,22,信息管理与信息系统
S0379,Student379,female,group A,some high school,standard,none,22,软件工程
S0380,Student380,male,group A,bachelor's degree,standard,none,20,网络工程
S0381,Student381,female,group B,associate's degree,standard,none,22,信息管理与信息系统
S0382,Student382,male,group C,associate's degree,standard,completed,20,计算机科学与技术
S0383,Student383,male,group C,master's degree,free/reduced,none,22,计算机科学与技术
S0384,Student384,female,group E,some high school,free/reduced,none,22,信息管理与信息系统
S0385,Student385,female,group A,some high school,free/reduced,none,19,计算机科学与技术
S0386,Student386,female,group E,some college,standard,none,21,信息管理与信息系统
S0387,Student387,female,group E,bachelor's degree,standard,none,22,网络工程
S0388,Student388,female,group C,associate's degree,free/reduced,none,22,信息管理与信息系统
S0389,Student389,female,group D,high school,standard,none,19,大数据技术
S0390,Student390,male,group D,master's degree,standard,none,20,大数据技术
S0391,Student391,male,group E,some high school,free/reduced,completed,20,信息管理与信息系统
S0392,Student392,female,group D,some college,standard,none,19,信息管理与信息系统
S0393,Student393,male,group E,some college,standard,none,19,计算机科学与技术
S0394,Student394,male,group C,associate's degree,standard,completed,18,大数据技术
S0395,Student395,female,group C,some high school,standard,completed,21,计算机科学与技术
S0396,Student396,male,group A,high school,free/reduced,none,18,软件工程
S0397,Student397,female,group B,high school,free/reduced,none,18,软件工程
S0398,Student398,female,group C,associate's degree,standard,none,18,计算机科学与技术
S0399,Student399,male,group B,some high school,standard,none,20,大数据技术
S0400,Student400,male,group D,some high school,standard,none,19,大数据技术
S0401,Student401,female,group C,some high school,standard,completed,20,计算机科学与技术
S0402,Student402,male,group A,some college,standard,none,21,信息管理与信息系统
S0403,Student403,female,group A,some college,free/reduced,none,19,软件工程
S0404,Student404,female,group D,high school,standard,completed,19,软件工程
S0405,Student405,female,group C,high school,standard,none,18,计算机科学与技术
S0406,Student406,female,group C,some high school,standard,none,20,信息管理与信息系统
S0407,Student407,male,group B,associate's degree,standard,completed,22,网络工程
S0408,Student408,female,group B,associate's degree,standard,none,20,大数据技术
S0409,Student409,female,group D,high school,free/reduced,completed,19,计算机科学与技术
S0410,Student410,male,group D,associate's degree,standard,completed,19,软件工程
S0411,Student411,female,group D,master's degree,standard,completed,18,软件工程
S0412,Student412,male,group E,some college,standard,completed,18,计算机科学与技术
S0413,Student413,male,group D,associate's degree,standard,none,18,计算机科学与技术
S0414,Student414,male,group B,some high school,standard,completed,19,网络工程
S0415,Student415,female,group C,bachelor's degree,free/reduced,completed,22,大数据技术
S0416,Student416,male,group E,high school,standard,none,22,计算机科学与技术
S0417,Student417,male,group C,bachelor's degree,standard,completed,21,信息管理与信息系统
S0418,Student418,male,group C,associate's degree,standard,none,22,软件工程
S0419,Student419,male,group D,some college,standard,none,19,软件工程
S0420,Student420,male,group E,high school,free/reduced,completed,19,软件工程
S0421,Student421,female,group C,associate's degree,free/reduced,completed,18,网络工程
S0422,Student422,female,group D,high school,standard,completed,20,网络工程
